method,method_rank,row,timestamp,score,score_pct,consensus_score,consensus_rank,available_method_count,missing_method_count,methods_available,methods_missing
itrans,1,439,2024-01-14,41.042354583740234,1.0,0.9460000000000001,1,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,2,91,2023-01-31,20.388866424560547,0.9983333333333333,0.92125,2,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,3,527,2024-04-11,17.307748794555664,0.9966666666666667,0.8723888888888889,6,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,4,153,2023-04-03,17.096712112426758,0.995,0.9015833333333333,3,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,5,531,2024-04-15,15.371589660644531,0.9933333333333333,0.8755972222222222,5,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,6,367,2023-11-03,10.913409233093262,0.9916666666666667,0.8380833333333333,8,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,7,493,2024-03-08,7.958981990814209,0.99,0.8035833333333333,15,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,8,55,2022-12-26,6.813509464263916,0.9883333333333333,0.7921805555555557,19,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,9,521,2024-04-05,5.926611423492432,0.9866666666666667,0.7853333333333333,23,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,10,482,2024-02-26,5.029806613922119,0.985,0.5954583333333334,159,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,11,150,2023-03-31,4.917454242706299,0.9833333333333333,0.7605833333333333,31,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,12,430,2024-01-05,4.883033752441406,0.9816666666666667,0.6234999999999999,131,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,13,295,2023-08-23,4.866097927093506,0.98,0.8200694444444444,11,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,14,364,2023-10-31,4.684934139251709,0.9783333333333334,0.8027777777777778,17,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,15,379,2023-11-15,4.672179222106934,0.9766666666666667,0.7576666666666666,35,5,0,itrans;calf;units;datamole;gpt4ts,
itrans,16,464,2024-02-08,4.597953796386719,0.975,0.6543194444444443,99,5,0,itrans;calf;units;datamole;gpt4ts,
