consensus_rank,row,timestamp,consensus_score,available_method_count,missing_method_count,methods_available,methods_missing,methods_in_top_k,methods_triggered,best_method_rank
1,562,2024-05-16,0.9825597290640393,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1
2,541,2024-04-25,0.9789770114942529,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1
3,539,2024-04-23,0.9749886425834701,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,3
4,563,2024-05-17,0.9746235632183907,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1
5,538,2024-04-22,0.9713999042145594,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,2
6,561,2024-05-15,0.9690910645867543,5,0,kmeans;dwt;calf;itrans;ocsvm,,5,kmeans;dwt;calf;itrans;ocsvm,1
7,531,2024-04-15,0.9477467843459223,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,2
8,560,2024-05-14,0.944706964969896,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;itrans,1
9,588,2024-06-11,0.9435570607553365,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,18
10,566,2024-05-20,0.9407788040503557,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;ocsvm,1
11,580,2024-06-03,0.9397988505747127,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,11
12,584,2024-06-07,0.9392446633825944,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,1
13,577,2024-05-31,0.9318944991789819,4,1,kmeans;dwt;itrans;ocsvm,calf,3,kmeans;itrans;ocsvm,28
14,576,2024-05-30,0.9290106732348111,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,7
15,582,2024-06-05,0.9246798029556651,4,1,kmeans;dwt;itrans;ocsvm,calf,2,itrans;ocsvm,28
16,528,2024-04-12,0.9224595648604268,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;itrans;ocsvm,9
17,540,2024-04-24,0.9185237411056377,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,9
18,527,2024-04-11,0.918384783798577,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,5
19,555,2024-05-09,0.9152781198686372,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;calf,9
20,546,2024-04-30,0.9104204296661195,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;ocsvm,9
21,548,2024-05-02,0.9104007252326218,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,kmeans;dwt;ocsvm,9
22,513,2024-03-28,0.9098908045977012,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,3
23,471,2024-02-15,0.9047966611932129,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,dwt;calf;itrans,5
24,583,2024-06-06,0.9044868637110017,4,1,kmeans;dwt;itrans;ocsvm,calf,1,ocsvm,27
25,581,2024-06-04,0.9035919540229885,4,1,kmeans;dwt;itrans;ocsvm,calf,1,ocsvm,24
26,573,2024-05-27,0.9023469485495348,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;ocsvm,26
27,574,2024-05-28,0.9010882594417076,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;ocsvm,9
28,559,2024-05-13,0.8984298713738369,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,9
29,596,2024-06-19,0.8962889983579639,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,9
30,521,2024-04-05,0.8949887110016419,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,5
31,589,2024-06-12,0.8901949917898194,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,20
32,570,2024-05-24,0.8901909551176793,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;calf,39
33,439,2024-01-14,0.8862523946360152,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,6
34,587,2024-06-10,0.8852483579638751,4,1,kmeans;dwt;itrans;ocsvm,calf,2,kmeans;ocsvm,17
35,542,2024-04-26,0.884106595511768,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,9
36,575,2024-05-29,0.8795875068418171,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;ocsvm,35
37,552,2024-05-06,0.8781502463054188,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,9
38,547,2024-05-01,0.8768715106732348,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,kmeans;dwt,9
39,535,2024-04-19,0.8749510810071154,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,42
40,556,2024-05-10,0.8690052681992337,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,9
41,533,2024-04-17,0.8684486863711001,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,7
42,554,2024-05-08,0.8676054324028462,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,dwt,9
43,499,2024-03-14,0.8671848659003831,5,0,kmeans;dwt;calf;itrans;ocsvm,,3,calf;itrans;ocsvm,9
44,534,2024-04-18,0.8639358921729612,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,calf,12
45,429,2024-01-04,0.8622877668308704,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,31
46,505,2024-03-20,0.8601648877941981,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,11
47,526,2024-04-10,0.8596012588943622,5,0,kmeans;dwt;calf;itrans;ocsvm,,1,itrans,20
48,486,2024-03-01,0.858848316912972,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,calf;itrans,4
49,590,2024-06-13,0.8575328407224959,4,1,kmeans;dwt;itrans;ocsvm,calf,1,kmeans,19
50,553,2024-05-07,0.8550862068965518,5,0,kmeans;dwt;calf;itrans;ocsvm,,2,dwt;ocsvm,9
