run_id,anomaly_id,anomaly_type,intensity,variant,result_group,method,k,matched,matched_timestamp,matched_rank,candidate_count
run_001,run_001_a001,global_peak,medium,raw,global_point,calf,10,False,,,10
run_001,run_001_a001,global_peak,medium,raw,global_point,calf,25,False,,,25
run_001,run_001_a001,global_peak,medium,raw,global_point,calf,50,True,2023-01-13,28.0,50
run_001,run_001_a001,global_peak,medium,raw,global_point,consensus,10,True,2023-01-13,5.0,10
run_001,run_001_a001,global_peak,medium,raw,global_point,consensus,25,True,2023-01-13,5.0,25
run_001,run_001_a001,global_peak,medium,raw,global_point,consensus,50,True,2023-01-13,5.0,50
run_001,run_001_a001,global_peak,medium,raw,global_point,datamole,10,False,,,10
run_001,run_001_a001,global_peak,medium,raw,global_point,datamole,25,True,2023-01-13,13.0,25
run_001,run_001_a001,global_peak,medium,raw,global_point,datamole,50,True,2023-01-13,13.0,50
run_001,run_001_a001,global_peak,medium,raw,global_point,gpt4ts,10,False,,,10
run_001,run_001_a001,global_peak,medium,raw,global_point,gpt4ts,25,True,2023-01-13,17.0,25
run_001,run_001_a001,global_peak,medium,raw,global_point,gpt4ts,50,True,2023-01-13,17.0,50
run_001,run_001_a001,global_peak,medium,raw,global_point,itrans,10,False,,,10
run_001,run_001_a001,global_peak,medium,raw,global_point,itrans,25,True,2023-01-13,12.0,25
run_001,run_001_a001,global_peak,medium,raw,global_point,itrans,50,True,2023-01-13,12.0,50
run_001,run_001_a001,global_peak,medium,raw,global_point,units,10,True,2023-01-13,7.0,10
run_001,run_001_a001,global_peak,medium,raw,global_point,units,25,True,2023-01-13,7.0,25
run_001,run_001_a001,global_peak,medium,raw,global_point,units,50,True,2023-01-13,7.0,50
run_001,run_001_a001,global_peak,medium,log1p,global_point,calf,10,False,,,10
run_001,run_001_a001,global_peak,medium,log1p,global_point,calf,25,False,,,25
run_001,run_001_a001,global_peak,medium,log1p,global_point,calf,50,False,,,50
run_001,run_001_a001,global_peak,medium,log1p,global_point,consensus,10,False,,,10
run_001,run_001_a001,global_peak,medium,log1p,global_point,consensus,25,True,2023-01-13,13.0,25
run_001,run_001_a001,global_peak,medium,log1p,global_point,consensus,50,True,2023-01-13,13.0,50
run_001,run_001_a001,global_peak,medium,log1p,global_point,datamole,10,False,,,10
run_001,run_001_a001,global_peak,medium,log1p,global_point,datamole,25,False,,,25
run_001,run_001_a001,global_peak,medium,log1p,global_point,datamole,50,False,,,50
run_001,run_001_a001,global_peak,medium,log1p,global_point,gpt4ts,10,False,,,10
run_001,run_001_a001,global_peak,medium,log1p,global_point,gpt4ts,25,False,,,25
run_001,run_001_a001,global_peak,medium,log1p,global_point,gpt4ts,50,False,,,50
run_001,run_001_a001,global_peak,medium,log1p,global_point,itrans,10,False,,,10
run_001,run_001_a001,global_peak,medium,log1p,global_point,itrans,25,True,2023-01-13,21.0,25
run_001,run_001_a001,global_peak,medium,log1p,global_point,itrans,50,True,2023-01-13,21.0,50
run_001,run_001_a001,global_peak,medium,log1p,global_point,units,10,True,2023-01-13,1.0,10
run_001,run_001_a001,global_peak,medium,log1p,global_point,units,25,True,2023-01-13,1.0,25
run_001,run_001_a001,global_peak,medium,log1p,global_point,units,50,True,2023-01-13,1.0,50
run_001,run_001_a001,global_peak,medium,combined,global_point,calf,10,False,,,16
run_001,run_001_a001,global_peak,medium,combined,global_point,calf,25,False,,,39
run_001,run_001_a001,global_peak,medium,combined,global_point,calf,50,True,2023-01-13,28.0,78
run_001,run_001_a001,global_peak,medium,combined,global_point,consensus,10,True,2023-01-13,5.0,16
run_001,run_001_a001,global_peak,medium,combined,global_point,consensus,25,True,2023-01-13,5.0,41
run_001,run_001_a001,global_peak,medium,combined,global_point,consensus,50,True,2023-01-13,5.0,77
run_001,run_001_a001,global_peak,medium,combined,global_point,datamole,10,False,,,16
run_001,run_001_a001,global_peak,medium,combined,global_point,datamole,25,True,2023-01-13,13.0,43
run_001,run_001_a001,global_peak,medium,combined,global_point,datamole,50,True,2023-01-13,13.0,88
run_001,run_001_a001,global_peak,medium,combined,global_point,gpt4ts,10,False,,,15
run_001,run_001_a001,global_peak,medium,combined,global_point,gpt4ts,25,True,2023-01-13,17.0,38
run_001,run_001_a001,global_peak,medium,combined,global_point,gpt4ts,50,True,2023-01-13,17.0,84
run_001,run_001_a001,global_peak,medium,combined,global_point,itrans,10,False,,,15
run_001,run_001_a001,global_peak,medium,combined,global_point,itrans,25,True,2023-01-13,12.0,38
run_001,run_001_a001,global_peak,medium,combined,global_point,itrans,50,True,2023-01-13,12.0,78
run_001,run_001_a001,global_peak,medium,combined,global_point,units,10,True,2023-01-13,1.0,13
run_001,run_001_a001,global_peak,medium,combined,global_point,units,25,True,2023-01-13,1.0,34
run_001,run_001_a001,global_peak,medium,combined,global_point,units,50,True,2023-01-13,1.0,71
run_001,run_001_a002,global_peak,strong,raw,global_point,calf,10,True,2023-09-27,4.0,10
run_001,run_001_a002,global_peak,strong,raw,global_point,calf,25,True,2023-09-27,4.0,25
run_001,run_001_a002,global_peak,strong,raw,global_point,calf,50,True,2023-09-27,4.0,50
run_001,run_001_a002,global_peak,strong,raw,global_point,consensus,10,True,2023-09-27,4.0,10
run_001,run_001_a002,global_peak,strong,raw,global_point,consensus,25,True,2023-09-27,4.0,25
run_001,run_001_a002,global_peak,strong,raw,global_point,consensus,50,True,2023-09-27,4.0,50
run_001,run_001_a002,global_peak,strong,raw,global_point,datamole,10,True,2023-09-27,7.0,10
run_001,run_001_a002,global_peak,strong,raw,global_point,datamole,25,True,2023-09-27,7.0,25
run_001,run_001_a002,global_peak,strong,raw,global_point,datamole,50,True,2023-09-27,7.0,50
