section,variant,anomaly_type,method,count
by_method,log1p,contextual_point,calf,275
by_method,log1p,global_point,units,275
by_method,log1p,multivariate_dependency,catch,25
by_method,log1p,subsequence_pattern,calf,275
by_method,raw,contextual_point,calf,275
by_method,raw,global_point,units,275
by_method,raw,multivariate_dependency,catch,25
by_method,raw,subsequence_pattern,calf,275
by_consensus_type,log1p,contextual_point,,275
by_consensus_type,log1p,global_point,,275
by_consensus_type,log1p,multivariate_dependency,,25
by_consensus_type,log1p,subsequence_pattern,,275
by_consensus_type,raw,contextual_point,,275
by_consensus_type,raw,global_point,,275
by_consensus_type,raw,multivariate_dependency,,25
by_consensus_type,raw,subsequence_pattern,,275
raw_log1p_overlap,raw_log1p,global_point,,114
raw_log1p_overlap,raw_log1p,contextual_point,,75
raw_log1p_overlap,raw_log1p,subsequence_pattern,,75
raw_log1p_overlap,raw_log1p,multivariate_dependency,,11
