variant,anomaly_type,method,customer,date,score,score_pct,rank
log1p,global_point,units,620000,2024-03-24,2.1358587741851807,1.0,1
log1p,global_point,units,620000,2024-04-21,2.061134099960327,0.9982638888888888,2
log1p,global_point,units,620000,2023-06-11,1.9734159708023071,0.9965277777777778,3
log1p,global_point,units,620000,2024-05-18,1.4443635940551758,0.9947916666666666,4
log1p,global_point,units,620000,2024-04-22,1.3974462747573853,0.9930555555555556,5
log1p,global_point,units,620000,2024-05-04,1.0208446979522705,0.9913194444444444,6
log1p,global_point,units,620000,2024-05-19,0.9919612407684326,0.9895833333333334,7
log1p,global_point,units,620000,2023-12-08,0.9463191032409668,0.9878472222222222,8
log1p,global_point,units,620000,2024-05-16,0.9400579929351807,0.9861111111111112,9
log1p,global_point,units,620000,2024-01-17,0.9202364683151245,0.984375,10
log1p,global_point,units,620000,2024-05-24,0.8191396594047546,0.9826388888888888,11
log1p,global_point,units,620000,2024-04-20,0.7611600756645203,0.9809027777777778,12
log1p,global_point,units,620000,2024-04-14,0.7408832907676697,0.9791666666666666,13
log1p,global_point,units,620000,2023-04-30,0.7375199198722839,0.9774305555555556,14
log1p,global_point,units,620000,2024-05-05,0.7169821858406067,0.9756944444444444,15
log1p,global_point,units,620000,2024-04-07,0.7046014666557312,0.9739583333333334,16
log1p,global_point,units,620000,2024-04-15,0.6794344186782837,0.9722222222222222,17
log1p,global_point,units,620000,2023-02-26,0.6772390604019165,0.9704861111111112,18
log1p,global_point,units,620000,2022-12-26,0.6539455056190491,0.96875,19
log1p,global_point,units,620000,2023-08-06,0.6421365737915039,0.9670138888888888,20
log1p,global_point,units,620000,2024-05-26,0.6274833083152771,0.9652777777777778,21
log1p,global_point,units,620000,2024-05-25,0.6144394278526306,0.9635416666666666,22
log1p,global_point,units,620000,2024-02-28,0.574312686920166,0.9618055555555556,23
log1p,global_point,units,620000,2024-02-29,0.5350962281227112,0.9600694444444444,24
log1p,global_point,units,620000,2024-04-28,0.5315151810646057,0.9583333333333334,25
log1p,global_point,units,633000,2023-08-29,1.451213002204895,1.0,1
log1p,global_point,units,633000,2024-04-07,1.348461627960205,0.9982638888888888,2
log1p,global_point,units,633000,2023-09-08,1.2496137619018555,0.9965277777777778,3
log1p,global_point,units,633000,2023-10-08,1.188788890838623,0.9947916666666666,4
log1p,global_point,units,633000,2024-04-22,1.127065658569336,0.9930555555555556,5
log1p,global_point,units,633000,2023-01-16,1.123714566230774,0.9913194444444444,6
log1p,global_point,units,633000,2024-02-29,1.0372260808944702,0.9895833333333334,7
log1p,global_point,units,633000,2022-11-22,0.9423967003822327,0.9878472222222222,8
log1p,global_point,units,633000,2022-11-23,0.9216362237930298,0.9861111111111112,9
log1p,global_point,units,633000,2023-04-03,0.8414838910102844,0.984375,10
log1p,global_point,units,633000,2022-11-21,0.8400617837905884,0.9826388888888888,11
log1p,global_point,units,633000,2023-09-07,0.7933517694473267,0.9809027777777778,12
log1p,global_point,units,633000,2023-08-28,0.7810221910476685,0.9791666666666666,13
log1p,global_point,units,633000,2024-04-15,0.7364586591720581,0.9774305555555556,14
log1p,global_point,units,633000,2023-05-22,0.7244647145271301,0.9756944444444444,15
log1p,global_point,units,633000,2023-05-07,0.7201879620552063,0.9739583333333334,16
log1p,global_point,units,633000,2022-12-26,0.7172840237617493,0.9722222222222222,17
log1p,global_point,units,633000,2023-09-23,0.6985473036766052,0.9704861111111112,18
log1p,global_point,units,633000,2024-04-03,0.6796596646308899,0.96875,19
log1p,global_point,units,633000,2024-05-04,0.6759692430496216,0.9670138888888888,20
log1p,global_point,units,633000,2023-08-30,0.6667452454566956,0.9652777777777778,21
log1p,global_point,units,633000,2023-09-11,0.652437150478363,0.9635416666666666,22
log1p,global_point,units,633000,2024-04-14,0.6491402983665466,0.9618055555555556,23
log1p,global_point,units,633000,2022-11-07,0.6482037305831909,0.9600694444444444,24
log1p,global_point,units,633000,2023-01-30,0.6406757831573486,0.9583333333333334,25
log1p,global_point,units,2968000,2023-11-06,2.294168472290039,1.0,1
log1p,global_point,units,2968000,2023-12-03,1.4358158111572266,0.9982638888888888,2
log1p,global_point,units,2968000,2024-05-27,1.3976638317108154,0.9965277777777778,3
log1p,global_point,units,2968000,2024-03-14,1.3420840501785278,0.9947916666666666,4
log1p,global_point,units,2968000,2023-09-18,1.193202018737793,0.9930555555555556,5
log1p,global_point,units,2968000,2024-02-21,1.1246315240859985,0.9913194444444444,6
log1p,global_point,units,2968000,2023-08-29,1.0203726291656494,0.9895833333333334,7
