variant,anomaly_type,date,customer,consensus_rank,consensus_score,method_count,methods,best_rank
log1p,contextual_point,2024-05-22,13400000,1,1.0,1,calf,1
log1p,contextual_point,2024-01-23,13400000,2,0.9982638888888888,1,calf,2
log1p,contextual_point,2023-12-28,13400000,3,0.9965277777777778,1,calf,3
log1p,contextual_point,2024-01-10,13400000,4,0.9947916666666666,1,calf,4
log1p,contextual_point,2023-05-06,13400000,5,0.9930555555555556,1,calf,5
log1p,contextual_point,2023-05-10,13400000,6,0.9913194444444444,1,calf,6
log1p,contextual_point,2023-12-26,13400000,7,0.9895833333333334,1,calf,7
log1p,contextual_point,2024-02-20,13400000,8,0.9878472222222222,1,calf,8
log1p,contextual_point,2023-09-07,13400000,9,0.9861111111111112,1,calf,9
log1p,contextual_point,2024-04-02,13400000,10,0.984375,1,calf,10
log1p,contextual_point,2023-04-12,13400000,11,0.9826388888888888,1,calf,11
log1p,contextual_point,2023-04-10,13400000,12,0.9809027777777778,1,calf,12
log1p,contextual_point,2023-08-29,13400000,13,0.9791666666666666,1,calf,13
log1p,contextual_point,2024-01-16,13400000,14,0.9774305555555556,1,calf,14
log1p,contextual_point,2023-12-18,13400000,15,0.9756944444444444,1,calf,15
log1p,contextual_point,2023-07-13,13400000,16,0.9739583333333334,1,calf,16
log1p,contextual_point,2023-07-14,13400000,17,0.9722222222222222,1,calf,17
log1p,contextual_point,2024-01-11,13400000,18,0.9704861111111112,1,calf,18
log1p,contextual_point,2024-01-17,13400000,19,0.96875,1,calf,19
log1p,contextual_point,2023-04-11,13400000,20,0.9670138888888888,1,calf,20
log1p,contextual_point,2024-03-29,13400000,21,0.9652777777777778,1,calf,21
log1p,contextual_point,2024-04-01,13400000,22,0.9635416666666666,1,calf,22
log1p,contextual_point,2024-04-06,13400000,23,0.9618055555555556,1,calf,23
log1p,contextual_point,2023-11-22,13400000,24,0.9600694444444444,1,calf,24
log1p,contextual_point,2024-02-09,13400000,25,0.9583333333333334,1,calf,25
log1p,contextual_point,2023-03-02,13401000,1,1.0,1,calf,1
log1p,contextual_point,2024-05-22,13401000,2,0.9982638888888888,1,calf,2
log1p,contextual_point,2023-08-29,13401000,3,0.9965277777777778,1,calf,3
log1p,contextual_point,2024-05-23,13401000,4,0.9947916666666666,1,calf,4
log1p,contextual_point,2024-01-23,13401000,5,0.9930555555555556,1,calf,5
log1p,contextual_point,2024-01-11,13401000,6,0.9913194444444444,1,calf,6
log1p,contextual_point,2024-03-08,13401000,7,0.9895833333333334,1,calf,7
log1p,contextual_point,2024-01-17,13401000,8,0.9878472222222222,1,calf,8
log1p,contextual_point,2024-01-16,13401000,9,0.9861111111111112,1,calf,9
log1p,contextual_point,2024-02-08,13401000,10,0.984375,1,calf,10
log1p,contextual_point,2024-01-12,13401000,11,0.9826388888888888,1,calf,11
log1p,contextual_point,2023-12-08,13401000,12,0.9809027777777778,1,calf,12
log1p,contextual_point,2023-12-26,13401000,13,0.9791666666666666,1,calf,13
log1p,contextual_point,2023-02-24,13401000,14,0.9774305555555556,1,calf,14
log1p,contextual_point,2024-01-15,13401000,15,0.9756944444444444,1,calf,15
log1p,contextual_point,2024-04-02,13401000,16,0.9739583333333334,1,calf,16
log1p,contextual_point,2024-01-10,13401000,17,0.9722222222222222,1,calf,17
log1p,contextual_point,2024-01-18,13401000,18,0.9704861111111112,1,calf,18
log1p,contextual_point,2024-01-04,13401000,19,0.96875,1,calf,19
