variant,anomaly_type,date,customer,consensus_rank,consensus_score,method_count,methods,best_rank
raw,contextual_point,2024-04-15,13400000,1,1.0,1,calf,1
raw,contextual_point,2023-04-03,13400000,2,0.9982638888888888,1,calf,2
raw,contextual_point,2023-10-31,13400000,3,0.9965277777777778,1,calf,3
raw,contextual_point,2023-04-21,13400000,4,0.9947916666666666,1,calf,4
raw,contextual_point,2023-09-18,13400000,5,0.9930555555555556,1,calf,5
raw,contextual_point,2023-11-01,13400000,6,0.9913194444444444,1,calf,6
raw,contextual_point,2023-05-10,13400000,7,0.9895833333333334,1,calf,7
raw,contextual_point,2024-05-24,13400000,8,0.9878472222222222,1,calf,8
raw,contextual_point,2023-12-08,13400000,9,0.9861111111111112,1,calf,9
raw,contextual_point,2024-04-02,13400000,10,0.984375,1,calf,10
raw,contextual_point,2024-03-28,13400000,11,0.9826388888888888,1,calf,11
raw,contextual_point,2024-02-26,13400000,12,0.9809027777777778,1,calf,12
raw,contextual_point,2024-05-10,13400000,13,0.9791666666666666,1,calf,13
raw,contextual_point,2023-02-08,13400000,14,0.9774305555555556,1,calf,14
raw,contextual_point,2024-04-10,13400000,15,0.9756944444444444,1,calf,15
raw,contextual_point,2023-10-25,13400000,16,0.9739583333333334,1,calf,16
raw,contextual_point,2023-11-23,13400000,17,0.9722222222222222,1,calf,17
raw,contextual_point,2024-03-29,13400000,18,0.9704861111111112,1,calf,18
raw,contextual_point,2024-05-22,13400000,19,0.96875,1,calf,19
raw,contextual_point,2022-12-26,13400000,20,0.9670138888888888,1,calf,20
raw,contextual_point,2024-04-05,13400000,21,0.9652777777777778,1,calf,21
raw,contextual_point,2024-02-02,13400000,22,0.9635416666666666,1,calf,22
raw,contextual_point,2024-04-19,13400000,23,0.9618055555555556,1,calf,23
raw,contextual_point,2023-04-06,13400000,24,0.9600694444444444,1,calf,24
raw,contextual_point,2023-11-22,13400000,25,0.9583333333333334,1,calf,25
raw,contextual_point,2024-04-15,13401000,1,1.0,1,calf,1
raw,contextual_point,2023-12-08,13401000,2,0.9982638888888888,1,calf,2
raw,contextual_point,2024-04-04,13401000,3,0.9965277777777778,1,calf,3
raw,contextual_point,2024-02-15,13401000,4,0.9947916666666666,1,calf,4
raw,contextual_point,2023-05-04,13401000,5,0.9930555555555556,1,calf,5
raw,contextual_point,2023-11-23,13401000,6,0.9913194444444444,1,calf,6
raw,contextual_point,2024-04-11,13401000,7,0.9895833333333334,1,calf,7
raw,contextual_point,2024-02-08,13401000,8,0.9878472222222222,1,calf,8
raw,contextual_point,2024-03-02,13401000,9,0.9861111111111112,1,calf,9
raw,contextual_point,2023-10-31,13401000,10,0.984375,1,calf,10
raw,contextual_point,2024-04-01,13401000,11,0.9826388888888888,1,calf,11
raw,contextual_point,2024-04-29,13401000,12,0.9809027777777778,1,calf,12
raw,contextual_point,2024-04-10,13401000,13,0.9791666666666666,1,calf,13
raw,contextual_point,2024-03-29,13401000,14,0.9774305555555556,1,calf,14
raw,contextual_point,2023-03-29,13401000,15,0.9756944444444444,1,calf,15
raw,contextual_point,2023-04-29,13401000,16,0.9739583333333334,1,calf,16
raw,contextual_point,2023-03-02,13401000,17,0.9722222222222222,1,calf,17
raw,contextual_point,2024-04-03,13401000,18,0.9704861111111112,1,calf,18
raw,contextual_point,2023-11-01,13401000,19,0.96875,1,calf,19
raw,contextual_point,2024-02-26,13401000,20,0.9670138888888888,1,calf,20
raw,contextual_point,2024-04-27,13401000,21,0.9652777777777778,1,calf,21
raw,contextual_point,2023-11-27,13401000,22,0.9635416666666666,1,calf,22
raw,contextual_point,2023-04-04,13401000,23,0.9618055555555556,1,calf,23
raw,contextual_point,2024-03-08,13401000,24,0.9600694444444444,1,calf,24
raw,contextual_point,2024-04-16,13401000,25,0.9583333333333334,1,calf,25
raw,contextual_point,2024-04-23,161832000,1,1.0,1,calf,1
raw,contextual_point,2024-05-17,161832000,2,0.9982638888888888,1,calf,2
raw,contextual_point,2024-03-28,161832000,3,0.9965277777777778,1,calf,3
raw,contextual_point,2024-04-15,161832000,4,0.9947916666666666,1,calf,4
raw,contextual_point,2024-05-16,161832000,5,0.9930555555555556,1,calf,5
raw,contextual_point,2024-04-25,161832000,6,0.9913194444444444,1,calf,6
raw,contextual_point,2024-03-29,161832000,7,0.9895833333333334,1,calf,7
raw,contextual_point,2024-03-18,161832000,8,0.9878472222222222,1,calf,8
raw,contextual_point,2024-04-01,161832000,9,0.9861111111111112,1,calf,9
raw,contextual_point,2024-05-22,161832000,10,0.984375,1,calf,10
raw,contextual_point,2024-03-01,161832000,11,0.9826388888888888,1,calf,11
raw,contextual_point,2024-03-30,161832000,12,0.9809027777777778,1,calf,12
raw,contextual_point,2024-02-29,161832000,13,0.9791666666666666,1,calf,13
raw,contextual_point,2024-03-21,161832000,14,0.9774305555555556,1,calf,14
raw,contextual_point,2024-03-07,161832000,15,0.9756944444444444,1,calf,15
raw,contextual_point,2024-05-10,161832000,16,0.9739583333333334,1,calf,16
raw,contextual_point,2023-10-31,161832000,17,0.9722222222222222,1,calf,17
raw,contextual_point,2024-05-14,161832000,18,0.9704861111111112,1,calf,18
raw,contextual_point,2023-05-04,161832000,19,0.96875,1,calf,19
